episode_id,event_seed,episode_type,sku_id,start_index,peak_multiplier,ramp_hours,half_life_hours,conversion_lag_hours,conversion_efficiency,has_content_signal,split,duration_hours,capacity_conflict_group,event_start
EP-001-01,171401,TRUE_SURGE,SKU-001,748,7.4648527426366025,4,60.483052368914805,17,0.8724470233980416,True,train,323,,2026-07-20 18:00:00+07:00
EP-001-02,171402,FADING_SURGE,SKU-001,1007,4.653289952787624,2,7.327365398278306,13,0.9195078655198726,True,train,51,,2026-07-31 13:00:00+07:00
EP-001-03,171403,FALSE_CONTENT,SKU-001,1147,3.269293311308873,4,8.97029061209889,15,0.046513400299527594,True,train,63,,2026-08-06 09:00:00+07:00
EP-001-04,171404,MISSING_SIGNAL,SKU-001,1249,5.401908825358149,7,27.869327416445664,24,0.7507494027195482,False,train,170,,2026-08-10 15:00:00+07:00
EP-001-05,171405,SLOW_BURN,SKU-001,1632,1.8162045449423012,17,66.18235854666426,34,0.9129890250668611,True,val,381,,2026-08-26 14:00:00+07:00
EP-001-06,171406,TRUE_SURGE,SKU-001,2003,4.957381379326259,4,67.74280893484617,15,0.8344626265351843,True,test,357,,2026-09-11 01:00:00+07:00
EP-002-01,171407,FADING_SURGE,SKU-002,390,3.786200334395174,3,5.891336183515342,16,0.8279276930320068,True,train,48,,2026-07-05 20:00:00+07:00
EP-002-02,171408,FALSE_CONTENT,SKU-002,842,3.9669418810993875,3,13.380653606176242,14,0.07206757849412002,True,train,83,,2026-07-24 16:00:00+07:00
EP-002-03,171409,MISSING_SIGNAL,SKU-002,1080,4.575253809442587,4,21.73979936590338,16,0.8972147804477081,False,train,128,,2026-08-03 14:00:00+07:00
EP-002-04,171410,SLOW_BURN,SKU-002,1162,2.223882562466314,12,59.14512800438605,19,0.8867651082084095,True,train,326,,2026-08-07 00:00:00+07:00
EP-002-05,171411,TRUE_SURGE,SKU-002,1723,4.581417069627085,8,44.191487393469515,19,0.979251675896657,True,val,247,,2026-08-30 09:00:00+07:00
EP-002-06,171412,FADING_SURGE,SKU-002,1982,5.749834574527619,2,6.554908251473358,19,0.7453396163383466,True,test,53,,2026-09-10 04:00:00+07:00
EP-003-01,171413,FALSE_CONTENT,SKU-003,507,3.8931475441377135,2,13.704193243636809,19,0.04118654935273633,True,train,89,,2026-07-10 17:00:00+07:00
EP-003-02,171414,MISSING_SIGNAL,SKU-003,760,3.9785255479471164,5,37.053358201993014,15,0.856155379339903,False,train,205,,2026-07-21 06:00:00+07:00
EP-003-03,171415,SLOW_BURN,SKU-003,879,2.4821537278626113,18,88.48510522266938,28,0.903351788565418,True,train,488,,2026-07-26 05:00:00+07:00
EP-003-04,171416,TRUE_SURGE,SKU-003,1204,4.5846734324571905,8,56.56018432185304,12,0.9224585649112477,True,train,302,,2026-08-08 18:00:00+07:00
EP-003-05,171417,FADING_SURGE,SKU-003,1707,4.376856018494443,5,6.365556296838218,9,0.9418599429001215,True,val,45,,2026-08-29 17:00:00+07:00
EP-003-06,171418,FALSE_CONTENT,SKU-003,1899,4.945888148217718,5,12.581090900818714,16,0.06754535092584563,True,test,83,,2026-09-06 17:00:00+07:00
EP-003-07,171419,MISSING_SIGNAL,SKU-003,2023,3.198752908830534,5,32.301603111027546,28,0.845834822024694,False,test,194,,2026-09-11 21:00:00+07:00
EP-004-01,171420,MISSING_SIGNAL,SKU-004,319,4.723786584941462,5,24.681430146122963,16,0.854394329466725,False,train,144,,2026-07-02 21:00:00+07:00
EP-004-02,171421,SLOW_BURN,SKU-004,433,2.152605167125928,10,71.56095537642668,22,0.7786829715255866,True,train,389,,2026-07-07 15:00:00+07:00
EP-004-03,171422,TRUE_SURGE,SKU-004,656,6.008484844444134,7,62.11987538487453,29,0.8250432319675224,True,train,346,,2026-07-16 22:00:00+07:00
EP-004-04,171423,FADING_SURGE,SKU-004,1062,5.382554551475182,3,7.667851683694626,11,0.8146897027942757,True,train,52,,2026-08-02 20:00:00+07:00
EP-004-05,171424,FALSE_CONTENT,SKU-004,1689,3.142186266738724,3,9.428714340232306,12,0.022300590480568927,True,val,62,,2026-08-28 23:00:00+07:00
EP-004-06,171425,MISSING_SIGNAL,SKU-004,1880,4.271190769109376,7,33.33417044977798,22,0.9329792850958649,False,test,195,,2026-09-05 22:00:00+07:00
EP-004-07,171426,SLOW_BURN,SKU-004,2008,1.8115433986068505,12,85.9545420815176,32,0.9345375786238934,True,test,473,,2026-09-11 06:00:00+07:00
EP-005-01,171427,SLOW_BURN,SKU-005,291,1.8293322825699307,13,77.67783094575417,33,0.7144719643739121,True,train,434,,2026-07-01 17:00:00+07:00
EP-005-02,171428,TRUE_SURGE,SKU-005,421,5.334206115202275,8,62.33943077158452,26,0.8362559063362557,True,train,345,,2026-07-07 03:00:00+07:00
EP-005-03,171429,FADING_SURGE,SKU-005,786,4.9172997745997025,2,5.542662655805685,13,0.7906408180678044,True,train,42,,2026-07-22 08:00:00+07:00
EP-005-04,171430,FALSE_CONTENT,SKU-005,882,4.2814608140950146,2,12.150348747693997,16,0.035270240812946475,True,train,78,,2026-07-26 08:00:00+07:00
EP-005-05,171431,MISSING_SIGNAL,SKU-005,1595,4.096438097446242,6,39.246733211585706,17,0.9827030827538117,False,val,219,,2026-08-25 01:00:00+07:00
EP-005-06,171432,SLOW_BURN,SKU-005,1929,2.601667780919511,14,52.68544872961514,25,0.7234780991485552,True,test,302,,2026-09-07 23:00:00+07:00
EP-005-07,171433,TRUE_SURGE,SKU-005,2055,6.718963563213792,8,45.52390152799825,16,0.8556228498435222,True,test,251,,2026-09-13 05:00:00+07:00
EP-CONFLICT-01,171434,TRUE_SURGE,SKU-001,1981,6.998422688296992,5,45.11804170383241,19,0.8804662581055809,True,test,96,CONFLICT-A,2026-09-10 03:00:00+07:00
EP-CONFLICT-02,171435,TRUE_SURGE,SKU-002,1983,5.365282638103458,5,53.451728718153845,17,0.951278864529592,True,test,96,CONFLICT-A,2026-09-10 05:00:00+07:00
